STATE_NAME, CITIZENS
US, 4.751.600  
Alabama, 686.000
Alaska,  6.275.900 
Arizona,  2.835.300
Arkansas, 33.939.500 
California,  5.166.400
Colorado, 3.321.600 
Connecticut, 894.700 
Delaware, 635.400
District of Columbia
Florida, 18.368.700
Georgia, 9.516.500
Hawaii, 1.247.900
Idaho, 1.607.300 
Illinois, 11.682.700
Indiana, 6.323.300
Iowa, 3.012.600
Kansas, 2.739.600
Kentucky, 4.255.300 
Louisiana, 4.466.900 
Maine, 1.311.800
Maryland, 5.488.300
Massachusetts, 6.090.400
Michigan, 9.517.500
Minnesota, 5.193.700
Mississippi, 2.911.100
Missouri, 5.733.900
Montana, 1.023.200 
Nebraska, 1.769.200 
Nevada, 2.693.800
New Hampshire, 1.283.600 
New Jersey, 7.946.400
New Mexico, 1.917.200
New York, 17.660.700
North Carolina, 9.541.300 
North Dakota, 726.400
Ohio, 11.223.200
Oklahoma, 3.716.400
Oregon, 3.829.900
Pennsylvania, 12.184.600
Rhode Island, 984.100 
South Carolina, 4.784.900
South Dakota, 844.100
Tennessee, 6.392.300
Texas, 24.595.000
Utah, 2.920.000
Vermont, 614.400 
Virginia, 7.631.900  
Washington, 6.700.300 
West Virginia, 1.797.400 
Wisconsin, 5.611.300
Wyoming, 561.400 
